gain_index,kp_angle,kd_angle,kp_cart,kd_cart,seed,episodes,final_hold,success_rate,drop_rate,cart_hit_rate,action_saturation,max_abs_cart_x,angular_speed_near_target,brief_target_contact_rate,sustained_hold_rate,drop_after_contact_rate,mean_abs_action,reward_mean,episode_length_mean
153,4.0,0.05,0.4,0.02,7,3,0.10833333333333334,0.0,0.6666666666666666,0.0,0.5183333333333334,0.8106650674879345,2.833278806890083,1.0,1.0,0.6666666666666666,0.3651683184027668,-62.99293781181342,200.0
153,4.0,0.05,0.4,0.02,8,3,0.075,0.0,0.6666666666666666,0.0,0.285,0.2667995569177772,1.7517421574078422,1.0,1.0,0.6666666666666666,0.23962396803327582,-50.07172582000495,200.0
153,4.0,0.05,0.4,0.02,9,3,0.075,0.0,0.6666666666666666,0.0,0.37833333333333335,0.26817824321665945,2.467003453991415,1.0,1.0,0.6666666666666666,0.30289415178626417,-54.51124703104247,200.0
154,4.0,0.05,0.4,0.05,0,3,0.0,0.0,0.6666666666666666,0.0,0.32,0.5547968728394304,2.144237269962207,1.0,1.0,0.6666666666666666,0.26711498230355235,-54.903577729737016,200.0
154,4.0,0.05,0.4,0.05,1,3,0.0,0.0,1.0,0.0,0.30000000000000004,0.2973245133862718,1.8927264251809373,1.0,1.0,1.0,0.2679906068813531,-86.47269855500677,200.0
154,4.0,0.05,0.4,0.05,2,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.145,0.19648675345735947,1.4048542320024648,1.0,1.0,0.6666666666666666,0.19528170952470233,-13.505222465956043,200.0
154,4.0,0.05,0.4,0.05,3,3,0.15833333333333333,0.0,0.6666666666666666,0.0,0.04666666666666667,0.1541235745383791,1.1624292145707533,1.0,1.0,0.6666666666666666,0.12074691530197486,-44.68804371546193,200.0
154,4.0,0.05,0.4,0.05,4,3,0.26666666666666666,0.0,0.3333333333333333,0.0,0.09166666666666667,0.12986246672673055,1.4300530678852148,1.0,1.0,0.3333333333333333,0.16396771309872893,-12.212091214525595,200.0
154,4.0,0.05,0.4,0.05,5,3,0.4083333333333334,0.3333333333333333,0.3333333333333333,0.0,0.11666666666666665,0.13689797541668142,1.3638686033196796,1.0,1.0,0.3333333333333333,0.17853852905554457,-12.460636962030827,200.0
154,4.0,0.05,0.4,0.05,6,3,0.06666666666666667,0.0,0.6666666666666666,0.0,0.27166666666666667,0.3394675652881554,1.8929138605404916,1.0,1.0,0.6666666666666666,0.24193609358546075,-50.612284513876546,200.0
154,4.0,0.05,0.4,0.05,7,3,0.17500000000000002,0.0,0.6666666666666666,0.0,0.30833333333333335,0.3811601167827325,2.117780127314247,1.0,1.0,0.6666666666666666,0.3008842739949605,-55.79418925568749,200.0
154,4.0,0.05,0.4,0.05,8,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.135,0.23147772602361974,1.1244630531932207,1.0,1.0,0.6666666666666666,0.155907975897675,-11.219892502035535,200.0
154,4.0,0.05,0.4,0.05,9,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.18500000000000003,0.18924914665957168,1.7344026602710343,1.0,1.0,0.3333333333333333,0.2186383708986208,18.153073318346188,200.0
155,4.0,0.05,0.4,0.1,0,3,0.24166666666666667,0.0,0.3333333333333333,0.0,0.08333333333333333,0.1831320008927274,1.2224904356897741,1.0,1.0,0.3333333333333333,0.13312116623116596,-11.703801711766133,200.0
155,4.0,0.05,0.4,0.1,1,3,0.0,0.0,0.6666666666666666,0.0,0.06166666666666667,0.16076911599607555,1.0880427793757343,1.0,1.0,0.6666666666666666,0.1207749266679976,-44.63882759455777,200.0
155,4.0,0.05,0.4,0.1,2,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.005,0.06205358050498144,0.7267698642466898,1.0,1.0,0.3333333333333333,0.06026926756684692,29.98257971567661,200.0
155,4.0,0.05,0.4,0.1,3,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.10222790514970966,0.7753635941335376,1.0,1.0,0.6666666666666666,0.028028288940650053,-5.17350370330243,200.0
155,4.0,0.05,0.4,0.1,4,3,0.5916666666666667,0.3333333333333333,0.0,0.0,0.0,0.08220523970042012,0.7121066978553152,1.0,1.0,0.0,0.043518956014642375,64.30568042891895,200.0
155,4.0,0.05,0.4,0.1,5,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.01,0.056570164309514476,0.7316800727019356,1.0,1.0,0.3333333333333333,0.0544190657611397,63.212803276135524,200.0
155,4.0,0.05,0.4,0.1,6,3,0.075,0.0,0.3333333333333333,0.0,0.018333333333333333,0.14071306205490222,1.0762139681461484,1.0,1.0,0.3333333333333333,0.09860134231896472,-9.2251388619436,200.0
155,4.0,0.05,0.4,0.1,7,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.04833333333333334,0.1450279132721437,0.9690837680677729,1.0,1.0,0.6666666666666666,0.12875844892657387,-8.893815972450719,200.0
155,4.0,0.05,0.4,0.1,8,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.034999999999999996,0.2274985785446729,0.7990122975723297,1.0,1.0,0.6666666666666666,0.06215008903336772,-6.3550286125545865,200.0
155,4.0,0.05,0.4,0.1,9,3,0.5750000000000001,0.3333333333333333,0.0,0.0,0.0,0.15860571702992718,0.8127528541608564,1.0,1.0,0.0,0.0655512497378629,62.72431410505279,200.0
156,4.0,0.1,0.05,0.02,0,3,0.325,0.3333333333333333,0.3333333333333333,0.0,0.0,0.07598116431196177,0.8699622187274123,1.0,1.0,0.3333333333333333,0.029907784123303426,-6.051057853505341,200.0
156,4.0,0.1,0.05,0.02,1,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.10959344657696635,0.9521235573542666,1.0,1.0,0.6666666666666666,0.022581584853272326,-41.81960244455769,200.0
156,4.0,0.1,0.05,0.02,2,3,0.35000000000000003,0.3333333333333333,0.3333333333333333,0.0,0.0,0.05507141747246031,0.6306722154322856,1.0,1.0,0.3333333333333333,0.014815603992696111,31.57777313446186,200.0
156,4.0,0.1,0.05,0.02,3,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.10444032546635422,0.7043224650448203,1.0,1.0,0.6666666666666666,0.012714208169705532,-4.082630367155521,200.0
156,4.0,0.1,0.05,0.02,4,3,0.625,0.6666666666666666,0.0,0.0,0.0,0.08312958554617522,0.5807512732450403,1.0,1.0,0.0,0.014906734783252875,66.42860918994653,200.0
156,4.0,0.1,0.05,0.02,5,3,0.6583333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0544930348002692,0.6589841057310645,1.0,1.0,0.3333333333333333,0.013248154892434432,31.106874621765687,200.0
156,4.0,0.1,0.05,0.02,6,3,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,0.14120888391650108,0.886351827721775,1.0,1.0,0.3333333333333333,0.023099629257180523,-5.384573084754204,200.0
156,4.0,0.1,0.05,0.02,7,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.11355023541720656,0.7277367018352575,1.0,1.0,0.3333333333333333,0.027942479294103,29.155320745353094,200.0
156,4.0,0.1,0.05,0.02,8,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.21730080449406505,0.789406816268264,1.0,1.0,0.6666666666666666,0.01587888628055684,-6.074905366231462,200.0
156,4.0,0.1,0.05,0.02,9,3,0.6166666666666667,0.3333333333333333,0.0,0.0,0.0,0.16041361887962502,0.667449424428113,1.0,1.0,0.0,0.021267883633932182,65.38939507099577,200.0
157,4.0,0.1,0.05,0.05,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.07497556916813848,0.8382798862059846,1.0,1.0,0.3333333333333333,0.02431529762516471,27.817074636076082,200.0
157,4.0,0.1,0.05,0.05,1,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.10918636414391147,0.937711962223006,1.0,1.0,0.6666666666666666,0.01893953701123817,-41.540733190834636,200.0
157,4.0,0.1,0.05,0.05,2,3,0.35000000000000003,0.3333333333333333,0.3333333333333333,0.0,0.0,0.05487891124211052,0.6206879226364693,1.0,1.0,0.3333333333333333,0.012456572850866298,31.710668254951887,200.0
157,4.0,0.1,0.05,0.05,3,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.10433152316400619,0.6952555514511602,1.0,1.0,0.6666666666666666,0.011553983324814056,-4.009193734542109,200.0
157,4.0,0.1,0.05,0.05,4,3,0.6333333333333333,0.6666666666666666,0.0,0.0,0.0,0.08332143856795526,0.5662820953812968,1.0,1.0,0.0,0.012744425617550981,66.61734862765134,200.0
157,4.0,0.1,0.05,0.05,5,3,0.6583333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.05445670226285076,0.6496705567089021,1.0,1.0,0.3333333333333333,0.011150206202529643,31.223524499249702,200.0
157,4.0,0.1,0.05,0.05,6,3,0.09999999999999999,0.0,0.3333333333333333,0.0,0.0,0.142906459587867,0.8622550872140923,1.0,1.0,0.3333333333333333,0.01930353987078422,-4.921744634664478,200.0
157,4.0,0.1,0.05,0.05,7,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.11323319012334404,0.6988078781784192,1.0,1.0,0.3333333333333333,0.02303502345799095,29.602305275028744,200.0
157,4.0,0.1,0.05,0.05,8,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.21808439432811286,0.782554430624176,1.0,1.0,0.6666666666666666,0.01488832903745546,-5.948595749196694,200.0
157,4.0,0.1,0.05,0.05,9,3,0.625,0.3333333333333333,0.0,0.0,0.0,0.16117740718456616,0.6496748738449951,1.0,1.0,0.0,0.018459956246637307,65.6901801628678,200.0
158,4.0,0.1,0.05,0.1,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.07353800902703082,0.8051840738562914,1.0,1.0,0.3333333333333333,0.019379988171720392,28.346594311979896,200.0
158,4.0,0.1,0.05,0.1,1,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.10872476104263185,0.9200036419271461,1.0,1.0,0.6666666666666666,0.015729237315528114,-41.24559744348,200.0
158,4.0,0.1,0.05,0.1,2,3,0.35000000000000003,0.3333333333333333,0.3333333333333333,0.0,0.0,0.05458467554444362,0.6081974909506966,1.0,1.0,0.3333333333333333,0.010260978491917533,31.840912364074708,200.0
